Open,Close,High,Low,ATR,EMA_fast,EMA_slow,RSI
187.84,187.87,189.12,187.48,4.349362323124424,182.84104476954099,177.83549999999997,69.41627724176284
184.94,187.65,187.85,184.74,4.1751677055352205,183.71540026598808,178.68349999999998,68.65801282701553
179.695,184.12,184.9,179.5,4.743000890458761,183.78896385399025,179.368,57.46661169118419
180.09,180.19,180.59,178.545,4.861857906107512,183.13460678962838,179.77949999999998,47.8236343587135
177.38,178.61,179.15,175.82,4.791592490949297,182.31195100969595,179.906,44.488842816692184
180.674,176.38,181.104,176.01,4.834793563670829,181.2334144624785,179.9855,40.10340798926346
178.52,181.12,181.55,178.325,4.882680197432141,181.21279365111877,180.345,51.414387230589554
177.06,177.23,177.68,176.25,4.880868740656122,180.48864935091535,180.432,43.861539727480434
175.07,175.84,176.13,173.735,4.682887491990958,179.64344037802167,180.2705,41.44433246514346
172.3,174.49,175.1,171.96,4.568189278849393,178.70645121838137,180.09650000000002,39.11794268147461
177.14,174.0,177.5054,173.48,4.490647953299482,177.8507328150393,180.046,38.25199583506546
177.13,176.57,178.54,176.5,4.497698245685269,177.61787230321397,180.08750000000003,45.30763649697146
178.88,177.45,179.48,177.05,4.270884210587373,177.58735006626597,180.2495,47.586225539575885
177.97,179.46,179.69,177.305,4.001472180503462,177.92783187239942,180.4075,52.59816005886503
177.32,177.79,178.62,176.55,3.8455475832886807,177.90277153196317,180.329,48.33167974444386
179.48,177.97,180.75,177.6,3.74618364281887,177.91499488978803,180.3185,48.82877376891502
180.87,178.19,180.93,177.01,3.771014550987605,177.9649958189175,180.35,49.488722530641965
179.69,179.8,180.27,177.58,3.616583900846518,178.2986329427507,180.1945,54.28299638689358
182.13,178.85,183.13,177.35,3.9256433435827303,178.3988814986142,179.65200000000002,51.10293468514422
185.52,181.99,187.38,181.92,4.583408580213769,179.0518121352298,179.27850000000004,59.760369850422364
191.57,191.17,192.37,190.69,5.411493068754658,181.25511901973346,179.44350000000003,74.45337240434702
195.04,192.58,195.18,191.8507,5.211279773218281,183.31418828887283,179.69000000000003,75.95192117747958
196.235,195.605,196.73,195.28,5.059668377044238,185.54888132725958,180.26425000000003,78.90205202834608
196.06,196.45,196.49,195.26,4.51257289460935,187.53090290412146,181.07725000000002,79.67590924766257
194.67,195.83,196.626,194.14,4.223062481093732,189.03982964882664,181.93825,77.36254592323832
